order,product_name,quantity,check,notes,created_at
#13035,Halvar Maxi Dress French Blue Stripe - L,1,False,,2025-03-21T00:46:40+10:00
#13155,Halvar Maxi Dress French Blue Stripe - M,1,False,,2025-03-30T05:24:46+10:00
#13181,Halvar Maxi Dress Khaki - XXS,1,False,,2025-04-01T23:10:01+10:00
#13213,Piega Linen Trouser Black - XXS,1,False,,2025-04-04T18:13:57+10:00
#13213,Lior Skirt Khaki - XS,1,False,,2025-04-04T18:13:57+10:00
#13213,Cora Linen Wrap Dress Navy - XXS,1,False,,2025-04-04T18:13:57+10:00
#13213,Safari Linen Wrap Dress Oatmeal Beige - XXS,1,False,,2025-04-04T18:13:57+10:00
#13213,Rhea Skirt Royal Natural - S,1,False,,2025-04-04T18:13:57+10:00
#13213,Cora Wrap Dress Navy - XXS,1,False,,2025-04-04T18:13:57+10:00
#13213,Safari Wrap Dress Oatmeal Beige - XXS,1,False,,2025-04-04T18:13:57+10:00
#13213,Piega Trouser Black - XS,1,False,,2025-04-04T18:13:57+10:00
#13214,Zado Dress Navy - XXS,1,False,,2025-04-04T22:01:28+10:00
#13217,Lior Skirt Khaki - XL,1,False,,2025-04-04T23:53:44+10:00
#13217,Lior Shirt Jacket Khaki - XL,1,False,,2025-04-04T23:53:44+10:00
#13220,Zado Dress Navy - XS,1,False,,2025-04-05T06:14:51+10:00
#13237,Zado Dress Navy - M,1,False,,2025-04-06T06:37:11+10:00
#13248,Rhea Skirt Royal Natural - XS,1,False,,2025-04-07T05:22:57+10:00
#13254,Cora Wrap Dress Black - XL,1,False,,2025-04-07T21:14:47+10:00
#13254,Ezara Shirt White - L/XL,1,False,,2025-04-07T21:14:47+10:00
#13254,Jager Bermuda Shorts Black - XL,1,False,,2025-04-07T21:14:47+10:00
#13312,Zulu Wrap Dress in Copper - M,1,False,,2025-04-12T23:49:18+10:00
#13316,Collo Alto Top Khaki - XS,1,False,,2025-04-13T10:23:08+10:00
#13316,L'origami Slip Dress Oatmeal Beige - XS,1,False,,2025-04-13T10:23:08+10:00
#13316,Gessato Midi Dress White Pinstripe - XS,1,False,,2025-04-13T10:23:08+10:00
#13352,Halvar Maxi Dress French Blue Stripe - M,1,False,,2025-04-15T12:38:18+10:00
#13389,Zulu Wrap Dress in Copper - S,1,False,,2025-04-19T07:39:36+10:00
#13395,Zado Dress Navy - S,1,False,,2025-04-19T12:40:19+10:00
#13422,Zado Dress Navy - S,1,False,,2025-04-21T04:31:47+10:00
#13423,Zulu Wrap Dress in Natural - S,1,False,,2025-04-21T04:35:09+10:00
