product_name,quantity,order_numbers,check,notes
Alarik Linen Kaftan Navy - S/M,1,#9714,False,
Ari Linen Tie Blouse White - S/M,1,#9818,False,
Aurore Linen Midi Dress Black - L,1,#9962,False,
Aurore Linen Midi Dress Black - M,2,"#9646, #9974",False,
Aurore Linen Midi Dress Black - XL,1,#9791,False,
Aurore Linen Midi Dress Black - XS,2,"#9606, #9955",False,
Aurore Linen Midi Dress Natural Beige - L,2,"#9731, #9921",False,
Aurore Linen Midi Dress Natural Beige - M,1,#9731,False,
Aurore Linen Midi Dress Natural Beige - S,2,"#9799, #9915",False,
Aurore Linen Midi Dress Natural Beige - XL,2,"#9791, #9911",False,
Aurore Linen Midi Dress Natural Beige - XS,1,#9606,False,
Axel Linen Tie Dress Black - M,3,"#9741, #9801, #9873",False,
Axel Linen Tie Dress Black - S/M,1,#9873,False,
Axel Linen Tie Dress Black - XL,1,#9724,False,
Axel Linen Tie Dress Black - XS,1,#9617,False,
Axel Linen Tie Dress White - L/XL,1,#9683,False,
Axel Linen Tie Dress White - S/M,2,"#9613, #9895",False,
Axel Linen Tie Dress White - XS/S,1,#9738,False,
Axel Linen Tie Top White - L/XL,1,#9791,False,
Axel Linen Tie Top White - M/L,1,#9834,False,
Axel Linen Tie Top White - S/M,6,"#9859, #9861, #9885, #9904, #9935, #9977",False,
Axel Linen Tie Top White - XS/S,2,"#9688, #9939",False,
Bjorn Linen Top French Blue Stripe - M/L,1,#9791,False,
Chloé Linen Top Navy - L,2,"#9815, #9899",False,
Chloé Linen Top Navy - S,2,"#9913, #9915",False,
Collo Alto Linen Top Black - L,1,#9932,False,
Collo Alto Linen Top Black - M,1,#9945,False,
Collo Alto Linen Top Black - XS,3,"#9708, #9723, #9891",False,
Collo Alto Linen Top Oatmeal - L,3,"#9399, #9899, #9927",False,
Collo Alto Linen Top Oatmeal - M,2,"#9904, #9966",False,
Collo Alto Linen Top Oatmeal - XS,1,#9914,False,
Collo Alto Linen Top White - L,3,"#9653, #9899, #9927",False,
Collo Alto Linen Top White - M,2,"#9558, #9653",False,
Collo Alto Linen Top White - S,3,"#9775, #9789, #9915",False,
Collo Alto Linen Top White - XS,2,"#9723, #9914",False,
Cora Linen Wrap Dress Black - S,1,#9621,False,
Cora Linen Wrap Dress Khaki - M,2,"#9777, #9812",False,
